"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8537","Verify Conduit Title @smoke","regression","Fri Oct 24 04:11:35 UTC 2025","passed","Fri Oct 24 04:11:44 UTC 2025","","conduit/workingWithApi.spec.ts","",""
"","253","authentication","setup","Fri Oct 24 04:11:34 UTC 2025","passed","Fri Oct 24 04:11:34 UTC 2025","","conduit/utility/auth.setup.ts","",""
